PARID,BOROCODE,Postcode,Borough,Latitude,Longitude,NTA,Street_Address
1004911213,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911214,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911215,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911216,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911217,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911218,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911219,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911220,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911221,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911222,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911223,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911224,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911225,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911226,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911227,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911228,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911229,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
